Continent,Country,MonthYear,Year,Month,Avg_Population_Density,Avg_Fertility_Rate,Avg_GDP_PPP,Avg_Corruption,Avg_Government_Effectiveness,Avg_Political_Stability,Avg_Rule_of_Law,Avg_Government_Healthcare_Spend,Avg_Urban_Population,Avg_Smoking_Prevalence,Avg_Tourism,Avg_Women_In_Parliament,Avg_Obesity_Rate,Demographics_Recorded_Year,Avg_Diabetes Prevelance % of Population 20-79,Avg_Labour Force Total,Avg_Population,Avg_Population Aged 65 and above % of Total,Avg_Urban Population,Avg_Death Rate Per 1000 (2017),"Avg_PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) (2017)","Avg_PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) (2017)"
Africa,Algeria,Dec-2019,2019,12,18.4,2.54,14000,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000,0.2575758,0.274,2019,6.7,12303926,43053054,6.552777882,31510100,4.717,38.8840107,100
Africa,Algeria,Jan-2020,2020,1,18.4,2.54,14000,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000,0.2575758,0.274,2019,6.7,12303926,43053054,6.55277788199999,31510100,4.717,38.8840107,100
Africa,Algeria,Feb-2020,2020,2,18.4,2.54,14000,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000,0.2575758,0.274,2019,6.7,12303926,43053054,6.552777882,31510100,4.717,38.8840107,100
Africa,Algeria,Mar-2020,2020,3,18.4,2.54,14000,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000,0.2575758,0.274,2019,6.7,12303926,43053054,6.55277788199999,31510100,4.717,38.8840107,100
Africa,Algeria,Apr-2020,2020,4,18.4,2.54,14000,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000,0.2575758,0.274,2019,6.7,12303926,43053054,6.552777882,31510100,4.717,38.8840107,100
Africa,Algeria,May-2020,2020,5,18.4,2.54,14000,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000,0.2575758,0.274,2019,6.7,12303926,43053054,6.55277788199999,31510100,4.717,38.8840107,100
Africa,Algeria,Jun-2020,2020,6,18.4,2.54,14000,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000,0.2575758,0.274,2019,6.7,12303926,43053054,6.552777882,31510100,4.717,38.8840107,100
Africa,Algeria,Jul-2020,2020,7,18.4,2.54,14000,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000,0.2575758,0.274,2019,6.7,12303926,43053054,6.55277788199999,31510100,4.717,38.8840107,100
Africa,Algeria,Aug-2020,2020,8,18.4,2.54,14000,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000,0.2575758,0.274,2019,6.7,12303926,43053054,6.55277788199999,31510100,4.717,38.8840107,100
Africa,Algeria,Sep-2020,2020,9,18.4,2.54,14000,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000,0.2575758,0.274,2019,6.7,12303926,43053054,6.552777882,31510100,4.717,38.8840107,100
Africa,Algeria,Oct-2020,2020,10,18.4,2.54,14000,-0.636465,-0.4439246,-0.7937849,-0.7753089,0.6595469,0.0634,0.156,2657000,0.2575758,0.274,2019,6.7,12303926,43053054,6.552777882,31510100,4.717,38.8840107,100
Africa,Angola,Mar-2020,2020,3,26.4,5.41,5440,-1.144541,-1.052086,-0.3190349,-1.048023,0.4627865,0.253,,218000,0.3,0.08199999,2019,4.5,13164276,31825295,2.19934175,21061025,8.432,32.38850491,100
Africa,Angola,Apr-2020,2020,4,26.4,5.41,5440,-1.144541,-1.052086,-0.3190349,-1.048023,0.4627865,0.253,,218000,0.3,0.08199999,2019,4.5,13164276,31825295,2.19934175,21061025,8.432,32.38850491,100
Africa,Angola,May-2020,2020,5,26.4,5.41,5440,-1.144541,-1.052086,-0.3190349,-1.048023,0.4627865,0.253,,218000,0.3,0.08199999,2019,4.5,13164276,31825295,2.19934175,21061025,8.432,32.38850491,100
Africa,Angola,Jun-2020,2020,6,26.4,5.41,5440,-1.144541,-1.052086,-0.3190349,-1.048023,0.4627865,0.253,,218000,0.3,0.08199999,2019,4.5,13164276,31825295,2.19934175,21061025,8.432,32.38850491,100
Africa,Angola,Jul-2020,2020,7,26.4,5.41,5440,-1.144541,-1.052086,-0.3190349,-1.048023,0.4627865,0.253,,218000,0.3,0.08199999,2019,4.5,13164276,31825295,2.19934175,21061025,8.432,32.38850491,100
Africa,Angola,Aug-2020,2020,8,26.4,5.41,5440,-1.144541,-1.052086,-0.3190349,-1.048023,0.4627865,0.253,,218000,0.3,0.08199999,2019,4.5,13164276,31825295,2.19934175,21061025,8.432,32.38850491,100
Africa,Angola,Sep-2020,2020,9,26.4,5.41,5440,-1.144541,-1.052086,-0.3190349,-1.048023,0.4627865,0.253,,218000,0.3,0.08199999,2019,4.5,13164276,31825295,2.19934175,21061025,8.432,32.38850491,100
Africa,Angola,Oct-2020,2020,10,26.4,5.41,5440,-1.144541,-1.052086,-0.3190349,-1.048023,0.4627865,0.253,,218000,0.3,0.08199999,2019,4.5,13164276,31825295,2.19934175,21061025,8.432,32.38850491,100
Africa,Benin,Mar-2020,2020,3,108,4.7,2310,-0.3833744,-0.5659866,-0.132421,-0.6751704,0.2998447,,0.064,295000,0.07228915,0.096,2019,1,4833491,11801151,3.264884925,5648149,9.025,38.99995876,100
Africa,Benin,Apr-2020,2020,4,108,4.7,2310,-0.3833744,-0.5659866,-0.132421,-0.6751704,0.2998447,,0.064,295000,0.07228915,0.096,2019,1,4833491,11801151,3.264884925,5648149,9.025,38.99995876,100
Africa,Benin,May-2020,2020,5,108,4.7,2310,-0.3833744,-0.5659866,-0.132421,-0.6751704,0.2998447,,0.064,295000,0.07228915,0.096,2019,1,4833491,11801151,3.264884925,5648149,9.025,38.99995876,100
Africa,Benin,Jun-2020,2020,6,108,4.7,2310,-0.3833744,-0.5659866,-0.132421,-0.6751704,0.2998447,,0.064,295000,0.07228915,0.096,2019,1,4833491,11801151,3.264884925,5648149,9.025,38.99995876,100
Africa,Benin,Jul-2020,2020,7,108,4.7,2310,-0.3833744,-0.5659866,-0.132421,-0.6751704,0.2998447,,0.064,295000,0.07228915,0.096,2019,1,4833491,11801151,3.264884925,5648149,9.025,38.99995876,100
Africa,Benin,Aug-2020,2020,8,108,4.7,2310,-0.3833744,-0.5659866,-0.132421,-0.6751704,0.2998447,,0.064,295000,0.07228915,0.096,2019,1,4833491,11801151,3.264884925,5648149,9.025,38.99995876,100
Africa,Benin,Sep-2020,2020,9,108,4.7,2310,-0.3833744,-0.5659866,-0.132421,-0.6751704,0.2998447,,0.064,295000,0.07228915,0.096,2019,1,4833491,11801151,3.264884925,5648149,9.025,38.99995876,100
Africa,Benin,Oct-2020,2020,10,108,4.7,2310,-0.3833744,-0.5659866,-0.132421,-0.6751704,0.2998447,,0.064,295000,0.07228915,0.096,2019,1,4833491,11801151,3.264884925,5648149,9.025,38.99995876,100
Africa,Botswana,Apr-2020,2020,4,4.15,2.56,17200,0.7505108,0.3334411,0.979156199999999,0.4664786,0.756596,,0.2,,0.1076923,0.189,2019,5.8,1080610,2303697,4.365895341,1616550,5.834,23.09438618,100
Africa,Botswana,May-2020,2020,5,4.15,2.56,17200,0.7505108,0.3334411,0.979156199999999,0.4664786,0.756596,,0.2,,0.1076923,0.189,2019,5.8,1080610,2303697,4.365895341,1616550,5.834,23.09438618,100
Africa,Botswana,Jun-2020,2020,6,4.15,2.56,17200,0.7505108,0.3334411,0.979156199999999,0.4664786,0.756596,,0.2,,0.1076923,0.189,2019,5.8,1080610,2303697,4.365895341,1616550,5.834,23.09438618,100
Africa,Botswana,Jul-2020,2020,7,4.15,2.56,17200,0.7505108,0.3334411,0.979156199999999,0.4664786,0.756596,,0.2,,0.1076923,0.189,2019,5.8,1080610,2303697,4.365895341,1616550,5.834,23.09438618,100
Africa,Botswana,Aug-2020,2020,8,4.15,2.56,17200,0.7505108,0.3334411,0.979156199999999,0.4664786,0.756596,,0.2,,0.1076923,0.189,2019,5.8,1080610,2303697,4.365895341,1616550,5.834,23.09438618,100
Africa,Botswana,Sep-2020,2020,9,4.15,2.56,17200,0.7505108,0.3334411,0.979156199999999,0.4664786,0.756596,,0.2,,0.1076923,0.189,2019,5.8,1080610,2303697,4.365895341,1616550,5.834,23.09438618,100
Africa,Botswana,Oct-2020,2020,10,4.15,2.56,17200,0.7505108,0.3334411,0.9791562,0.4664786,0.756596,,0.2,,0.1076923,0.189,2019,5.8,1080610,2303697,4.365895341,1616550,5.834,23.09438618,100
Africa,Burkina Faso,Mar-2020,2020,3,76.4,5.03,1860,-0.112395,-0.5783429,-1.040907,-0.4455683,0.4330193,0.131,0.125,144000,0.1338583,0.056,2019,7.3,7468213,20321378,2.407287537,6092349,8.341,42.93559251,100
Africa,Burkina Faso,Apr-2020,2020,4,76.4,5.03,1860,-0.112395,-0.5783429,-1.040907,-0.4455683,0.4330193,0.131,0.125,144000,0.1338583,0.056,2019,7.3,7468213,20321378,2.407287537,6092349,8.341,42.93559251,100
Africa,Burkina Faso,May-2020,2020,5,76.4,5.03,1860,-0.112395,-0.5783429,-1.040907,-0.4455683,0.4330193,0.131,0.125,144000,0.1338583,0.056,2019,7.3,7468213,20321378,2.407287537,6092349,8.341,42.93559251,100
Africa,Burkina Faso,Jun-2020,2020,6,76.4,5.03,1860,-0.112395,-0.5783429,-1.040907,-0.4455683,0.4330193,0.131,0.125,144000,0.1338583,0.056,2019,7.3,7468213,20321378,2.407287537,6092349,8.341,42.93559251,100
Africa,Burkina Faso,Jul-2020,2020,7,76.4,5.03,1860,-0.112395,-0.5783429,-1.040907,-0.4455683,0.4330193,0.131,0.125,144000,0.1338583,0.056,2019,7.3,7468213,20321378,2.407287537,6092349,8.341,42.93559251,100
Africa,Burkina Faso,Aug-2020,2020,8,76.4,5.03,1860,-0.112395,-0.5783429,-1.040907,-0.4455683,0.4330193,0.131,0.125,144000,0.1338583,0.056,2019,7.3,7468213,20321378,2.407287537,6092349,8.341,42.93559251,100
Africa,Burkina Faso,Sep-2020,2020,9,76.4,5.03,1860,-0.112395,-0.5783429,-1.040907,-0.4455683,0.4330193,0.131,0.125,144000,0.1338583,0.056,2019,7.3,7468213,20321378,2.407287537,6092349,8.341,42.93559251,100
Africa,Burkina Faso,Oct-2020,2020,10,76.4,5.03,1860,-0.112395,-0.5783429,-1.040907,-0.4455683,0.4330193,0.131,0.125,144000,0.1338583,0.056,2019,7.3,7468213,20321378,2.407287537,6092349,8.341,42.93559251,100
Africa,Burundi,Apr-2020,2020,4,463,5.38,628,-1.450633,-1.419982,-1.597951,-1.496611,0.2471393,,,,0.3636364,0.054,2019,5.1,4983237,11530580,2.312095315,1541177,8.106,38.89626795,100
Africa,Burundi,May-2020,2020,5,463,5.38,628,-1.450633,-1.419982,-1.597951,-1.496611,0.2471393,,,,0.3636364,0.054,2019,5.1,4983237,11530580,2.312095315,1541177,8.106,38.89626795,100
Africa,Burundi,Jun-2020,2020,6,463,5.38,628,-1.450633,-1.419982,-1.597951,-1.496611,0.2471393,,,,0.3636364,0.054,2019,5.1,4983237,11530580,2.312095315,1541177,8.106,38.89626795,100
Africa,Burundi,Jul-2020,2020,7,463,5.38,628,-1.450633,-1.419982,-1.597951,-1.496611,0.2471393,,,,0.3636364,0.054,2019,5.1,4983237,11530580,2.312095315,1541177,8.106,38.89626795,100
Africa,Burundi,Aug-2020,2020,8,463,5.38,628,-1.450633,-1.419982,-1.597951,-1.496611,0.2471393,,,,0.3636364,0.054,2019,5.1,4983237,11530580,2.312095315,1541177,8.106,38.89626795,100
Africa,Burundi,Sep-2020,2020,9,463,5.38,628,-1.450633,-1.419982,-1.597951,-1.496611,0.2471393,,,,0.3636364,0.054,2019,5.1,4983237,11530580,2.312095315,1541177,8.106,38.89626795,100
Africa,Burundi,Oct-2020,2020,10,463,5.38,628,-1.450633,-1.419982,-1.597951,-1.496611,0.2471393,,,,0.3636364,0.054,2019,5.1,4983237,11530580,2.312095315,1541177,8.106,38.89626795,100
Africa,Cameroon,Mar-2020,2020,3,56.2,4.44,3460,-1.149748,-0.7996525,-1.37598,-1.079662,0.1331758,0.284,,,0.3111111,0.114,2019,6,11345979,25876380,2.723649908,14741256,9.501,72.79309622,100
Africa,Cameroon,Apr-2020,2020,4,56.2,4.44,3460,-1.149748,-0.7996525,-1.37598,-1.079662,0.1331758,0.284,,,0.3111111,0.114,2019,6,11345979,25876380,2.723649908,14741256,9.501,72.79309622,100
Africa,Cameroon,May-2020,2020,5,56.2,4.44,3460,-1.149748,-0.7996525,-1.37598,-1.079662,0.1331758,0.284,,,0.3111111,0.114,2019,6,11345979,25876380,2.723649908,14741256,9.501,72.79309622,100
Africa,Cameroon,Jun-2020,2020,6,56.2,4.44,3460,-1.149748,-0.7996525,-1.37598,-1.079662,0.1331758,0.284,,,0.3111111,0.114,2019,6,11345979,25876380,2.723649908,14741256,9.501,72.79309622,100
Africa,Cameroon,Jul-2020,2020,7,56.2,4.44,3460,-1.149748,-0.7996525,-1.37598,-1.079662,0.1331758,0.284,,,0.3111111,0.114,2019,6,11345979,25876380,2.723649908,14741256,9.501,72.79309622,100
Africa,Cameroon,Aug-2020,2020,8,56.2,4.44,3460,-1.149748,-0.7996525,-1.37598,-1.079662,0.1331758,0.284,,,0.3111111,0.114,2019,6,11345979,25876380,2.723649908,14741256,9.501,72.79309622,100
Africa,Cameroon,Sep-2020,2020,9,56.2,4.44,3460,-1.149748,-0.7996525,-1.37598,-1.079662,0.1331758,0.284,,,0.3111111,0.114,2019,6,11345979,25876380,2.723649908,14741256,9.501,72.79309622,100
Africa,Cameroon,Oct-2020,2020,10,56.2,4.44,3460,-1.149748,-0.7996525,-1.37598,-1.079662,0.1331758,0.284,,,0.3111111,0.114,2019,6,11345979,25876380,2.723649908,14741256,9.501,72.79309622,100
Africa,Cape Verde,Mar-2020,2020,3,138,2.2,7170,0.7682196,0.3192393,0.7472337,0.4454568,0.6024473,,0.09100001,710000,0.2361111,0.118,2019,2.4,238022,549935,4.698373444,364029,5.682,34.7787001,100
Africa,Cape Verde,Apr-2020,2020,4,138,2.2,7170,0.7682196,0.3192393,0.7472337,0.4454568,0.6024473,,0.09100001,710000,0.2361111,0.118,2019,2.4,238022,549935,4.698373444,364029,5.682,34.7787001,100
Africa,Cape Verde,May-2020,2020,5,138,2.2,7170,0.768219599999999,0.3192393,0.7472337,0.4454568,0.6024473,,0.09100001,710000,0.2361111,0.118,2019,2.4,238022,549935,4.698373444,364029,5.682,34.7787001,100
Africa,Cape Verde,Jun-2020,2020,6,138,2.2,7170,0.7682196,0.3192393,0.7472337,0.4454568,0.6024473,,0.09100001,710000,0.2361111,0.118,2019,2.4,238022,549935,4.698373444,364029,5.682,34.7787001,100
Africa,Cape Verde,Jul-2020,2020,7,138,2.2,7170,0.768219599999999,0.3192393,0.7472337,0.4454568,0.6024473,,0.09100001,710000,0.2361111,0.118,2019,2.4,238022,549935,4.698373444,364029,5.682,34.7787001,100
Africa,Cape Verde,Aug-2020,2020,8,138,2.2,7170,0.768219599999999,0.3192393,0.7472337,0.4454568,0.6024473,,0.09100001,710000,0.2361111,0.118,2019,2.4,238022,549935,4.698373444,364029,5.682,34.7787001,100
Africa,Cape Verde,Sep-2020,2020,9,138,2.2,7170,0.7682196,0.3192393,0.7472337,0.4454568,0.6024473,,0.09100001,710000,0.2361111,0.118,2019,2.4,238022,549935,4.698373444,364029,5.682,34.7787001,100
Africa,Cape Verde,Oct-2020,2020,10,138,2.2,7170,0.7682196,0.3192393,0.7472337,0.4454568,0.6024473,,0.09100001,710000,0.2361111,0.118,2019,2.4,238022,549935,4.698373444,364029,5.682,34.7787001,100
Africa,Central African Republic,Mar-2020,2020,3,7.75,4.57,817,-1.233395,-1.720417,-2.281261,-1.687692,0.1282263,,,,0.08571428,0.075,2019,6,1914794,4745185,2.81479015,1982064,12.671,56.82849738,100
Africa,Central African Republic,Apr-2020,2020,4,7.75,4.57,817,-1.233395,-1.720417,-2.281261,-1.687692,0.1282263,,,,0.08571428,0.075,2019,6,1914794,4745185,2.81479015,1982064,12.671,56.82849738,100
Africa,Central African Republic,May-2020,2020,5,7.75,4.57,817,-1.233395,-1.720417,-2.281261,-1.687692,0.1282263,,,,0.08571428,0.075,2019,6,1914794,4745185,2.81479015,1982064,12.671,56.82849738,100
Africa,Central African Republic,Jun-2020,2020,6,7.75,4.57,817,-1.233395,-1.720417,-2.281261,-1.687692,0.1282263,,,,0.08571428,0.075,2019,6,1914794,4745185,2.81479015,1982064,12.671,56.82849738,100
Africa,Central African Republic,Jul-2020,2020,7,7.75,4.57,817,-1.233395,-1.720417,-2.281261,-1.687692,0.1282263,,,,0.08571428,0.075,2019,6,1914794,4745185,2.81479015,1982064,12.671,56.82849738,100
Africa,Central African Republic,Aug-2020,2020,8,7.75,4.57,817,-1.233395,-1.720417,-2.281261,-1.687692,0.1282263,,,,0.08571428,0.075,2019,6,1914794,4745185,2.81479015,1982064,12.671,56.82849738,100
Africa,Central African Republic,Sep-2020,2020,9,7.75,4.57,817,-1.233395,-1.720417,-2.281261,-1.687692,0.1282263,,,,0.08571428,0.075,2019,6,1914794,4745185,2.81479015,1982064,12.671,56.82849738,100
Africa,Central African Republic,Oct-2020,2020,10,7.75,4.57,817,-1.233395,-1.720417,-2.281261,-1.687692,0.1282263,,,,0.08571428,0.075,2019,6,1914794,4745185,2.81479015,1982064,12.671,56.82849738,100
