Continent,Country,MonthYear,Year,Month,TotalCases,TotalDeaths
Africa,Algeria,Apr-20,2020,4,3848,444
Africa,Algeria,Aug-20,2020,8,44146,1501
Africa,Algeria,Dec-19,2019,12,0,0
Africa,Algeria,Feb-20,2020,2,1,0
Africa,Algeria,Jan-20,2020,1,0,0
Africa,Algeria,Jul-20,2020,7,29831,1200
Africa,Algeria,Jun-20,2020,6,13571,905
Africa,Algeria,Mar-20,2020,3,584,35
Africa,Algeria,May-20,2020,5,9267,646
Africa,Algeria,Oct-20,2020,10,52399,1773
Africa,Algeria,Sep-20,2020,9,51368,1726
Africa,Angola,Apr-20,2020,4,27,2
Africa,Angola,Aug-20,2020,8,2624,107
Africa,Angola,Jul-20,2020,7,1078,48
Africa,Angola,Jun-20,2020,6,276,11
Africa,Angola,Mar-20,2020,3,7,2
Africa,Angola,May-20,2020,5,84,4
Africa,Angola,Oct-20,2020,10,5725,211
Africa,Angola,Sep-20,2020,9,4905,179
Africa,Benin,Apr-20,2020,4,69,2
Africa,Benin,Aug-20,2020,8,2145,40
Africa,Benin,Jul-20,2020,7,1770,35
Africa,Benin,Jun-20,2020,6,1187,19
Africa,Benin,Mar-20,2020,3,6,0
Africa,Benin,May-20,2020,5,232,3
Africa,Benin,Oct-20,2020,10,2357,41
Africa,Benin,Sep-20,2020,9,2340,40
Africa,Botswana,Apr-20,2020,4,23,1
Africa,Botswana,Aug-20,2020,8,1633,6
Africa,Botswana,Jul-20,2020,7,804,2
Africa,Botswana,Jun-20,2020,6,175,1
Africa,Botswana,May-20,2020,5,35,1
Africa,Botswana,Oct-20,2020,10,3172,16
Africa,Botswana,Sep-20,2020,9,3172,16
Africa,Burkina Faso,Apr-20,2020,4,641,43
Africa,Burkina Faso,Aug-20,2020,8,1368,55
Africa,Burkina Faso,Jul-20,2020,7,1117,53
Africa,Burkina Faso,Jun-20,2020,6,959,53
Africa,Burkina Faso,Mar-20,2020,3,222,12
Africa,Burkina Faso,May-20,2020,5,853,53
Africa,Burkina Faso,Oct-20,2020,10,2197,59
Africa,Burkina Faso,Sep-20,2020,9,2032,58
Africa,Burundi,Apr-20,2020,4,15,1
Africa,Burundi,Aug-20,2020,8,445,1
Africa,Burundi,Jul-20,2020,7,387,1
Africa,Burundi,Jun-20,2020,6,170,1
Africa,Burundi,May-20,2020,5,42,1
Africa,Burundi,Oct-20,2020,10,514,1
Africa,Burundi,Sep-20,2020,9,506,1
Africa,Cameroon,Apr-20,2020,4,1832,61
Africa,Cameroon,Aug-20,2020,8,19142,411
Africa,Cameroon,Jul-20,2020,7,17255,387
Africa,Cameroon,Jun-20,2020,6,12592,313
Africa,Cameroon,Mar-20,2020,3,142,2
Africa,Cameroon,May-20,2020,5,5904,191
Africa,Cameroon,Oct-20,2020,10,20924,420
Africa,Cameroon,Sep-20,2020,9,20838,418
Africa,Cape Verde,Apr-20,2020,4,113,1
Africa,Cape Verde,Aug-20,2020,8,3852,40
Africa,Cape Verde,Jul-20,2020,7,2373,23
Africa,Cape Verde,Jun-20,2020,6,1165,12
Africa,Cape Verde,Mar-20,2020,3,5,1
Africa,Cape Verde,May-20,2020,5,421,4
Africa,Cape Verde,Oct-20,2020,10,6518,69
Africa,Cape Verde,Sep-20,2020,9,5900,59
Africa,Central African Republic,Apr-20,2020,4,50,0
Africa,Central African Republic,Aug-20,2020,8,4700,61
Africa,Central African Republic,Jul-20,2020,7,4605,59
Africa,Central African Republic,Jun-20,2020,6,3613,47
Africa,Central African Republic,Mar-20,2020,3,6,0
Africa,Central African Republic,May-20,2020,5,962,1
Africa,Central African Republic,Oct-20,2020,10,4852,62
Africa,Central African Republic,Sep-20,2020,9,4825,62
Africa,Chad,Apr-20,2020,4,52,2
Africa,Chad,Aug-20,2020,8,1012,77
Africa,Chad,Jul-20,2020,7,935,75
Africa,Chad,Jun-20,2020,6,866,74
Africa,Chad,Mar-20,2020,3,7,0
Africa,Chad,May-20,2020,5,759,65
Africa,Chad,Oct-20,2020,10,1238,88
Africa,Chad,Sep-20,2020,9,1193,85
Africa,Comoros,Aug-20,2020,8,423,7
Africa,Comoros,Jul-20,2020,7,378,7
Africa,Comoros,Jun-20,2020,6,272,7
Africa,Comoros,May-20,2020,5,106,2
Africa,Comoros,Oct-20,2020,10,491,7
Africa,Comoros,Sep-20,2020,9,479,7
Africa,"Congo, Dem. Rep.",Apr-20,2020,4,500,31
Africa,"Congo, Dem. Rep.",Aug-20,2020,8,10044,257
Africa,"Congo, Dem. Rep.",Jul-20,2020,7,9010,214
Africa,"Congo, Dem. Rep.",Jun-20,2020,6,6939,167
Africa,"Congo, Dem. Rep.",Mar-20,2020,3,98,8
Africa,"Congo, Dem. Rep.",May-20,2020,5,2966,69
Africa,"Congo, Dem. Rep.",Oct-20,2020,10,10778,274
Africa,"Congo, Dem. Rep.",Sep-20,2020,9,10630,271
Africa,"Congo, Rep.",Apr-20,2020,4,220,9
Africa,"Congo, Rep.",Aug-20,2020,8,3979,78
Africa,"Congo, Rep.",Jul-20,2020,7,3376,56
Africa,"Congo, Rep.",Jun-20,2020,6,1245,40
Africa,"Congo, Rep.",Mar-20,2020,3,19,0
Africa,"Congo, Rep.",May-20,2020,5,587,19
